<文件> 打开文件
<*.vui> 打开卡片
<文本> 悬停提示[仅限组件->悬停]
LightFrame.action:NewStickyNote 新建便签纸
LightFrame.Bin 拖拽删除[仅限组件]
LightFrame.dohover 淡化[仅限组件]
LightFrame.emitter:Express 粒子(扩散)
LightFrame.emitter:Love 粒子(MC:爱心)
LightFrame.emitter:Bubbles 粒子(MC:气泡)
LightFrame.emitter:Test 测试发生器(动画播放)
LightFrame.MC.BedUI 床(旧版)
LightFrame.MC.GameBedUI 床
LightFrame.MC.ChestUI 箱子
LightFrame.MC.CraftingTable 工作台
LightFrame.setwp:路径 切换壁纸
LightFrame.panel:StickyNote 便签纸创建页面
LightFrame.panel:MCThemed Minecraft主题组件创建页面
LightFrame.OpenSpace 专注空间
